Sr. No.,Party Type,Abbreviation,Party Symbol,Party Name
238,U,BPSJP,"Auto- rickshaw,Ring",Bharatiya Praja Surajya Paksha
239,U,BRED,Camera,Bhartiya Rashtriya Ekta Dal
240,U,BRJ,Battery Torch,Bhartiya Rashtriya Jansatta
241,U,BRKP(D),Bat,Bharat Rakshak Party (Democratic)
242,U,BRM,Bench,Bharatiya Rashtriya Morcha
243,U,BRMNP,"Telephone,Toffees",Bhartiya Manavta Party
244,U,BRRTD,"Battery Torch,Brush,Carrom board,Computer,Kettle,Rubber stamp",Bhartiya Rashtriya Dal
245,U,BRSBD,Bucket,Bhartiya Sabka Dal
246,U,BRTYLKNYKP,Road roller,Bhartiya Lok Nayak Party
247,U,BSaP,Cauliflower,Bhartiya Samajik Party
248,U,BSCP,"Air conditioner,Envelope,Flute,Truck",Bhartiya Shakti Chetna Party
249,U,BSKRP,Auto- rickshaw,Bharatiya Sampuran Krantikari Party
250,U,BSP(A),"Gas cylinder,Mike",Bahujan Samaj Party (Ambedkar)
251,U,BSSSSP,Water tank,Bahujan Shoshit Samaj Sangharsh Samta Party
252,U,BTC,Drill machine,Bheem Tribal Congress
253,U,BTJP,Trumpet,Bhartiya Jan Parishad
254,U,BTJSP,Auto- rickshaw,Bhartiya Jan Samrat Party
255,U,BTMSP,Telephone,Bhartiya Mahasangh Party
256,U,BUJNBHRTP,"Bat,Battery Torch,Ganna kisan,Ship,Whistle",Bahujan Bharat Party
257,U,BUP,Pot,Bhumiputra United Party
258,U,BVA,Whistle,Bahujan Vikas Aaghadi
259,U,BVD,Whistle,Bhartiya Veer Dal
260,U,BYKD,"Diamond,Switchboard",Bharathiya YuvaKula Dalam
261,U,BYPP,Apple,Bhartiya Panchyat Party
262,U,CAPS,Nagrik,Citizen Action Party-Sikkim
263,U,CCP,Coconut farm,Country Citizen Party
264,U,CHALP,Almirah,Challengers Party
265,U,CHNYUTP,"Pen nib with seven rays,Scissors",Chennai Youth Party
266,U,CoAP,Football player,Corruption Abolition Party
267,U,CSBGP,Apple,Chhatrapati Shivaji Bhartiya Garib Party
268,U,cvgrp,Diesel pump,Chhattisgarh Vikas Ganga Rashtriya Party
269,U,DABAP,"Almirah,Gas cylinder,Glass tumbler",Dalita Bahujana Party
270,U,DAMK,Water melon,Dhesiya Makkal Kazhagam
271,U,DaP,"Bat,Table",Dharmarajya Paksha
272,U,DBSP,"Air conditioner,Bat,Coat,Ganna kisan",Democratic Bharatiya Samaj Party
273,U,DHBHP,Football player,Dhanwan Bharat Party
274,U,DHRMSMJP,Chappals,Dharma Samaj Party
275,U,DIGVBHP,Coconut farm,Digvijaya Bharatha Party
276,U,DJHP,"Bat,Pressure cooker,School bag,Whistle",Desh Janhit Party
277,U,DJP,"Coconut farm,Ganna kisan",Delhi Janta Party
278,U,DKD,Truck,Dalit Kranti Dal
279,U,DMSK,"Auto- rickshaw,Bucket,Football player,Robot,Ship,Water melon",Desiya Makkal Sakthi Katchi
280,U,DPAP,Bucket,Democratic Progressive Azad Party
281,U,DPRMP,Coconut farm,Desh Prem Party
282,U,DrAPP,Auto- rickshaw,Dr. Ambedkar People's Party
283,U,DS,Ring,Dhoom Sena
284,U,DSPI,Auto- rickshaw,Democratic Socialist Party of India
285,U,DSPVAD,Harmonium,Dalit Soshit Pichhara Varg Adhikar Dal
286,U,EKSP,"Boat with man and sail,Phone charger",Eklavya Samaj Party
287,U,ESBD,"Diamond,Flute,Triangle",Ekam Sanatan Bharat Dal
288,U,GaAP,"Air conditioner,Camera,Plate containing food,Whistle",Gareeb Aadmi Party
289,U,GBLRPBP,"CCTV Camera,Gas cylinder,Hockey and ball,Pressure cooker",Global Republican Party
290,U,GGP,"Baby walker,Black board,Saw",Gondvana Gantantra Party
291,U,GJRTLKTNTP,Auto- rickshaw,Gujarat Loktantra Party
292,U,GNASURKP,"Battery Torch,Bead necklace,Binoculars",Gana Suraksha Party
293,U,GNDWDKP,Man blowing turha,Gondwana Dandkaranya Party
294,U,GPI,Lady finger,Ganasangam Party of India
295,U,grac,Tube light,Gorkha Rashtriya Congress
296,U,GRBDMCTP,Tiller,Garib Democratic Party
297,U,GRBKLYNP,"Biscuit,Ganna kisan",Garib Kalyan Party
298,U,GSD,Table,Guruchand Sena Dal
299,U,GSNJP,CCTV Camera,Gunj Satya Ni Janata Party
300,U,GSSP,Ship,Gujarat Sarva Samaj Party
